"Kanji","Meaning_JP","Meaning_EN","Meaning_ES","Meaning_FR","Meaning_DE","Meaning_IT","Meaning_TL","Meaning_PT","Meaning_TR","Meaning_AR","Meaning_SV","Meaning_NL","Meaning_PL","Meaning_NO","Meaning_HU","Meaning_HE","Meaning_RU","Meaning_LT"
"匠","ひとつの技を究め、魂を込めて至高の作品を創り出す","Mastering a single craft and creating supreme works with one's whole soul.","Dominar un solo arte y crear obras supremas con toda el alma.","Maîtriser un seul métier et créer des œuvres suprêmes avec toute son âme.","Ein Handwerk beherrschen und mit ganzer Seele höchste Werke schaffen.","Padroneggiare un mestiere e creare opere supreme con tutta la propria anima.","Ang pagpapakadalubhasa sa isang sining at paglikha ng mga dakilang gawa gamit ang buong kaluluwa.","Dominar um ofício e criar obras supremas com toda a alma.","Tek bir zanaatta ustalaşma ve tüm ruhuyla yüce eserler yaratma.","إتقان حرفة واحدة وإبداع أعمال سامية بكل الروح.","Att bemästra ett enda hantverk och skapa högsta verk med hela sin själ.","Een enkel ambacht beheersen en met de hele ziel opperste werken creëren.","Opanowanie jednego rzemiosła i tworzenie najwyższych dzieł z całą duszą.","Å mestre et håndverk og skape fremragende verk med hele sin sjel.","Egyetlen mesterség elsajátítása és a legmagasabb rendű művek létrehozása teljes lélekkel.","שליטה במלאכה אחת ויצירת יצירות נעלות עם כל הנשמה.","Освоение одного ремесла и создание величайших шедевров со всей душой.","Vieno amato įvaldymas ir aukščiausio lygio kūrinių kūrimas su visa siela."
"耀","星々のように自ら光を放ち、暗闇を希望で満たす力","The power to emit light like the stars and fill the darkness with hope.","El poder de emitir luz como las estrellas y llenar la oscuridad de esperanza.","La force d'émettre de la lumière comme les étoiles et de remplir l'obscurité d'espoir.","Die Kraft, Licht wie die Sterne auszustrahlen und die Dunkelheit mit Hoffnung zu füllen.","Il potere di emettere luce come le stelle e riempire l'oscurità di speranza.","Ang kapangyarihang maglabas ng liwanag tulad ng mga bituin at punuin ng pag-asa ang kadiliman.","O poder de emitir luz como as estrelas e preencher a escuridão com esperança.","Yıldızlar gibi ışık yayma ve karanlığı umutla doldurma gücü.","قوة إشعاع الضوء مثل النجوم وملء الظلام بالأمل.","Kraften att sända ut ljus likt stjärnorna och fylla mörkret med hopp.","De kracht om licht uit te stralen als de sterren en de duisternis te vullen met hoop.","Moc emitowania światła niczym gwiazdy i napełniania ciemności nadzieją.","Kraften til å sende ut lys som stjernene og fylle mørket med håp.","Az erő, amellyel valaki csillagként áraszt fényt, és reménnyel tölti meg a sötétséget.","הכוח להפיץ אור כמו הכוכבים ולמלא את החשכה בתקווה.","Сила излучать свет подобно звездам и наполнять тьму надеждой.","Galia skleisti šviesą kaip žvaigždės ir užpildyti tamsą viltimi."
"昇","太陽が昇るように、常に向上心を持って高みを目指す","Aiming for the heights with a constant desire for improvement, like the rising sun.","Aspirando a las alturas con un deseo constante de mejora, como el sol naciente.","Viser les sommets avec un désir constant de s'améliorer, tel le soleil levant.","Mit dem ständigen Wunsch nach Verbesserung nach der Höhe streben, wie die aufgehende Sonne.","Mirando alle vette con un costante desiderio di miglioramento, come il sole che sorge.","Naglalayon sa kaitaasan nang may palagiang hangaring mapabuti, tulad ng sumisikat na araw.","Visando as alturas com um desejo constante de melhoria, como o sol nascente.","Yükselen güneş gibi, sürekli bir gelişim arzusuyla zirveyi hedefleyen.","السعي نحو القمم برغبة مستمرة في التحسن، مثل الشمس المشرقة.","Att sikta mot höjderna med en ständig önskan om förbättring, likt den uppgående solen.","Streven naar de hoogten met een constant verlangen naar verbetering, als de opkomende zon.","Dążenie ku wyżynom z nieustanną chęcią doskonalenia się, niczym wschodzące słońce.","Å sikte mot høydene med et konstant ønske om forbedring, som den oppgående solen.","A magasságokba törekedve a folyamatos fejlődés vágyával, mint a felkelő nap.","שאיפה לגבהים עם רצון מתמיד לשיפור, כמו השמש העולה.","Стремление к высотам с постоянным желанием совершенствоваться, подобно восходящему солнцу.","Siekimas aukštumų su nuolatiniu troškimu tobulėti, kaip kyla saulė."
"豪","圧倒的な力と器を持ち、堂々と人生を歩む強者の風格","The style of a strong person with overwhelming power and stature, walking proudly through life.","El estilo de una persona fuerte con un poder y una estatura abrumadores, caminando con orgullo por la vida.","Le style d'une personne forte habitée par une puissance et une stature imposantes, marchant fièrement dans la vie.","Der Stil eines starken Menschen mit überwältigender Kraft und Statur, der stolz durch das Leben geht.","Lo stile di una persona forte con un potere e una statura travolgenti, che cammina con orgoglio attraverso la vita.","Ang katangian ng isang malakas na taong may napakalaking kapangyarihan at katayuan, na may kapurihang naglalakad sa buhay.","O estilo de uma pessoa forte com poder e estatura avassaladores, caminhando orgulhosamente pela vida.","Ezici bir güce ve boyuta sahip, hayatta gururla yürüyen güçlü bir insanın tarzı.","أسلوب الشخص القوي ذو القوة والمكانة الهائلة، الذي يمشى بفخر في الحياة.","Stilen hos en stark person med överväldigande kraft och gestalt som går stolt genom livet.","De stijl van een sterk persoon met overweldigende kracht en postuur, trots door het leven stappend.","Styl silnej osoby o przytłaczającej mocy i posturze, kroczącej dumnie przez życie.","Stilen til en sterk person med overveldende kraft og storhet, som går stolt gjennom livet.","Egy elsöprő erővel és termettel rendelkező erős ember stílusa, aki büszkén járja az életet.","סגנונו של אדם חזק בעל עוצמה וקומה סוחפים, הצועד בגאווה בחיים.","Облик сильного человека с подавляющей мощью и статью, гордо идущего по жизни.","Stipraus žmogaus su pribloškiančia galia ir ūgiu, išdidžiai žengiančio per gyvenimą, stilius."
"剛","剛毅で曲がらない意志を持ち、どんな逆境も跳ね返す力","The power to have a stout and unbending will, repelling any adversity.","Poder de tener una voluntad firme e inquebrantable, repeliendo cualquier adversidad.","La force d'avoir une volonté robuste et inflexible, repoussant toute adversité.","Die Kraft, einen standhaften und unnachgiebigen Willen zu haben, der jede Widrigkeit zurückweist.","Il potere di avere una volontà forte e irremovibile, capace di respingere ogni avversità.","Ang kapangyarihang magkaroon ng matatag at di-nababaluktot na kagustuhan, na tumatalo sa anumang kahirapan.","O poder de ter uma vontade forte e inabalável, repelindo qualquer adversidade.","Her türlü olumsuzluğu geri püskürten, sağlam ve bükülmez bir iradeye sahip olma gücü.","قوة امتلاك إرادة صلبة لا تنحني، تطرد أي شدائد.","Kraften att ha en stadig och orubblig vilja som avvisar alla motgångar.","De kracht om een standvastige en onbuigzame wil te hebben, die elke tegenslag afweert.","Moc posiadania silnej i nieugiętej woli, odpierającej wszelkie przeciwności losu.","Kraften til å ha en stødig og ubøyelig vilje, som avviser enhver motgang.","Az erő, amellyel valaki szilárd és hajlíthatatlan akarattal rendelkezik, elhárítva minden nehézséget.","הכוח להיות בעל רצון איתן ובלתי מתפשר, הדוחה כל מצוקה.","Сила обладать твердой и непреклонной волей, отражающей любые невзгоды.","Galia turėti tvirtą ir nesulenkiamą valią, atremiančią bet kokias negandas."
"虚","すべてを包み込む無の境地から、無限の創造を生み出す心","A heart that creates infinite possibilities from the state of nothingness that envelops everything.","Corazón que crea infinitas posibilidades desde el estado de la nada que lo envuelve todo.","Un cœur qui crée des possibilités infinies à partir de l'état de néant qui enveloppe tout.","Ein Herz, das unendliche Möglichkeiten aus dem Zustand des Nichts schafft, das alles umhüllt.","Un cuore che crea infinite possibilità dallo stato di nulla che avvolge ogni cosa.","Isang pusong lumilikha ng walang hanggang mga posibilidad mula sa kalagayan ng wala na bumabalot sa lahat.","Um coração que cria infinitas possibilidades a partir do estado de nada que envolve tudo.","Her şeyi sarmalayan hiçlik durumundan sonsuz olasılıklar yaratan bir kalp.","قلب يخلق إمكانيات لا متناهية من حالة العدم التي تغلف كل شيء.","Ett hjärta som skapar oändliga möjligheter ur det tillstånd av intet som omsluter allt.","Een hart dat oneindige mogelijkheden creëert vanuit de staat van nietszeggendheid die alles omhult.","Serce, które stwarza nieskończone możliwości ze stanu nicości otaczającej wszystko.","Et hjerte som skaper uendelige muligheter fra tilstanden av intet som omslutter alt.","A szív, amely végtelen lehetőségeket teremt a mindent körüllelő semmi állapotából.","לב היוצר אפשרויות אינסופיות ממצב של כלום העוטף הכל.","Сердце, создающее бесконечные возможности из состояния пустоты, охватывающей всё.","Širdis, kuri kuria begalines galimybes iš viską apimančios nieko būsenos."
"忠","自らの信念や主に尽くし、決して裏切らない誠実な魂","A sincere soul that devotes itself to its own beliefs or master, never betraying them.","Alma sincera que se entrega a sus propias creencias o a su amo, sin traicionarlos nunca.","Une âme sincère qui se consacre à ses propres convictions ou à son maître, sans jamais les trahir.","Eine aufrichtige Seele, die sich ihren eigenen Überzeugungen oder ihrem Herrn widmet und sie niemals verrät.","Un'anima sincera che si dedica alle proprie convinzioni o al proprio padrone, senza mai tradirli.","Isang tapat na kaluluwang nag-aalay ng sarili sa sariling paniniwala o panginoon, nang hindi kailanman nagtataksil sa kanila.","Uma alma sincera que se dedica às suas próprias crenças ou ao seu mestre, nunca os traindo.","Kendi inançlarına veya efendisine adanmış, asla onlara ihanet etmeyen samimi bir ruh.","روح مخلصة تكرس نفسها لمعتقداتها الخاصة أو لسيدها، ولا تخونهم أبداً.","En uppriktig själ som ägnar sig åt sina egna övertygelser eller sin mästare, och aldrig förråder dem.","Een oprechte ziel die zich wijdt aan haar eigen overtuigingen of meester, en hen nooit verraadt.","Szczera dusza, która oddaje się własnym przekonaniom lub panu, nigdy ich nie zdradzając.","En oppriktig sjel som vier seg til sin egen overbevisning eller sin herre, og aldri sviker dem.","Őszinte lélek, amely saját meggyőződésének vagy urának szenteli magát, soha nem árulva el őket.","נשמה כנה המתמסרת לאמונותיה שלה או לאדונה, ולעולם אינה בוגדת בהם.","Искренняя душа, преданная своим убеждениям или господину и никогда их не предающая.","Nuoširdi siela, kuri atsiduoda savo įsitikinimams ar šeimininkui, niekada jų neišduodama."
"烈","激しく燃え盛る火のように、純粋で妥協のない情熱","A pure and uncompromising passion, like a fiercely burning fire.","Pasión pura e intransigente, como un fuego que arde con fuerza.","Une passion pure et sans compromis, telle un feu ardent.","Eine reine und kompromisslose Leidenschaft, wie ein heftig brennendes Feuer.","Una passione pura e senza compromessi, come un fuoco che arde ferocemente.","Isang wagas at di-nakikipagkompromisong simbuyo, tulad ng isang matinding nag-aalab na apoy.","Uma paixão pura e intransigente, como um fogo que arde intensamente.","Şiddetli bir ateş gibi, saf ve tavizsiz bir tutku.","شغف نقي لا يلين، مثل نار تشتعل بضراوة.","En ren och kompromisslös passion, likt en häftigt brinnande eld.","Een pure en compromisloze passie, als een fel brandend vuur.","Czysta i bezkompromisowa pasja, niczym gwałtownie płonący ogień.","En ren og kompromissløs lidenskap, som en brennende ild.","Tiszta és hajthatatlan szenvedély, mint a hevesen égő tűz.","תשוקה טהורה ובלתי מתפשרת, כמו אש בוערת בעוז.","Чистая и бескомпромиссная страсть, подобная неистово пылающему огню.","Tyra ir bekompromisė aistra, kaip įniršusi deganti ugnis."
"闇","深い安らぎと神秘を湛え、光をより一層輝かせる深淵","An abyss brimming with deep peace and mystery, making the light shine even brighter.","Abismo rebosante de profunda paz y misterio, que hace que la luz brille aún más.","Un abîme débordant d'une paix profonde et de mystère, faisant briller la lumière plus intensément encore.","Ein Abgrund voller tiefem Frieden und Geheimnis, der das Licht noch heller erstrahlen lässt.","Un abisso colmo di pace profonda e mistero, che fa risplendere la luce ancora di più.","Isang kalaliman na puno ng malalim na kapayapaan at misteryo, na lalo pang nagpapakitang-gilas sa liwanag.","Um abismo transbordando de paz profunda e mistério, fazendo a luz brilhar ainda mais.","Derin bir huzur ve gizemle dolu, ışığın daha da parlak görünmesini sağlayan bir uçurum.","هاوية مفعمة بالسلام والغموض العميق، تجعل الضوء يسطع أكثر فأكثر.","En avgrund fylld av djupt lugn och mystik, som gör att ljuset lyser ännu starkare.","Een afgrond vol diepe vrede en mysterie, waardoor het licht nog feller gaat schijnen.","Otchłań przepełniona głębokim pokojem i tajemnicą, sprawiająca, że światło lśni jeszcze jaśniej.","En avgrunn fylt med dyp fred og mystikk, som får lyset til å skinne enda klarere.","Mély békével és titokzatossággat telített szakadék, amely még fényesebbé teszi a világosságot.","תהום מלאה בשלווה עמוקה ובמסתורין, הגורמת לאור לזרוח עוד יותר.","Бездна, преисполненная глубокого покоя и тайны, заставляющая свет сиять еще ярче.","Bedugnė, kupina gilios ramybės ir paslapties, priverčianti šviesą šviesti dar ryškiau."
"炎","すべてを包み込む生命の火を灯し、意志を継承し続ける力","The power to light the fire of life that envelops everything and continue to inherit the will.","El poder de encender el fuego de la vida que lo envuelve todo y seguir heredando la voluntad.","La force d'allumer le feu de la vie qui enveloppe tout et de perpétuer la volonté.","Die Kraft, das Feuer des Lebens zu entzünden, das alles umhüllt, und das Erbe des Willens fortzusetzen.","Il potere di accendere il fuoco della vita che avvolge ogni cosa e continuare a trasmettere la volontà.","Ang kapangyarihang magsindi ng apoy ng buhay na bumabalot sa lahat at patuloy na nagmamana ng kagustuhan.","O poder de acender o fogo da vida que envolve tudo e continuar a herdar a vontade.","Her şeyi sarmalayan yaşam ateşini yakma ve iradeyi devralmaya devam etme gücü.","قوة إشعال نار الحياة التي تغلف كل شيء والاستمرار في وراثة الإرادة.","Kraften att tända livets eld som omsluter allt och fortsätta föra viljan vidare.","De kracht om het vuur van het leven te ontsteken dat alles omhult en de wil te blijven overdragen.","Moc zapalania ognia życia, który otacza wszystko, i kontynuowania dziedzictwa woli.","Kraften til å tenne livets ild som omslutter alt, og fortsette å føre viljen videre.","Az erő, amellyel valaki meggyújtja az mindent körülölelő élet tüzét, és továbbviszi az akaratot.","הכוח להדליק את אש החיים העוטפת הכל ולהמשיך להוריש את הרצון.","Сила зажечь огонь жизни, охватывающий всё, и продолжать передавать волю.","Galia uždegti viską apimančią gyvybės ugnį ir toliau paveldėti valią."
"氷","冷徹な知性と静寂を保ち、どんな喧騒も静まらせる透明な心","A transparent heart that maintains cool intellect and silence, quelling any clamor.","Corazón transparente que mantiene un intelecto frío y silencio, aplacando cualquier clamor.","Un cœur transparent qui maintient une intelligence froide et le silence, calmant toute clameur.","Ein transparentes Herz, das kühlen Verstand und Schweigen bewahrt und jeglichen Lärm verstummen lässt.","Un cuore trasparente che mantiene freddo intelletto e silenzio, placando ogni clamore.","Isang malinaw na pusong nagpapanatili ng malamig na katalinuhan at katahimikan, na pumapawi sa anumang ingay.","Um coração transparente que mantém o intelecto frio e o silêncio, acalmando qualquer clamor.","Soğuk zekayı ve sessizliği koruyan, her türlü gürültüyü yatıştıran şeffaf bir kalp.","قلب شفاف يحافظ على ذكاء بارد وسكون، ويهدئ أي ضجيج.","Ett genomskinligt hjärta som upprätthåller kyligt intellekt och tystnad och dämpar allt buller.","Een transparant hart dat koel intellect en stilte bewaart, en elk rumoer sust.","Przejrzyste serce, które zachowuje chłodny intelekt i ciszę, uśmierzając wszelki zgiełk.","Et gjennomsiktig hjerte som bevarer kjølig intellekt og stillhet, og demper ethvert støy.","Átlátszó szív, amely megőrzi hűvös értelemet és a csendet, lecsendesítve minden zajt.","לב שקוף השומר על אינטלקט קריר ודממה, ומשקיט כל המולה.","Прозрачное сердце, которое сохраняет холодный интеллект и тишину, унимая любой шум.","Skaidri širdis, kuri išlaiko šaltą intelektą ir tylą, nuraminanti bet kokį triukšmą."
"風","どこまでも自由に駆け抜け、世界に新しい変化を運ぶ意志","The will to run freely anywhere and bring new changes to the world.","Voluntad de correr libremente a cualquier lugar y traer nuevos cambios al mundo.","La volonté de courir librement partout et d'apporter de nouveaux changements au monde.","Der Wille, überall frei zu laufen und neue Veränderungen in die Welt zu bringen.","La volontà di correre liberamente ovunque e portare nuovi cambiamenti al mondo.","Ang kagustuhang kusang tumakbo kahit saan at magdala ng mga bagong pagbabago sa mundo.","A vontade de correr livremente para qualquer lugar e trazer novas mudanças ao mundo.","Her yerde özgürce koşma ve dünyaya yeni değişiklikler getirme iradesi.","إرادة الجري بحرية في أي مكان وجلب تغييرات جديدة للعالم.","Viljan att springa fritt vart som helst och ge världen nya förändringar.","De wil om overal vrijuit te rennen en de wereld nieuwe veranderingen te brengen.","Wola swobodnego biegania wszędzie i wnoszenia nowych zmian do świata.","Viljen til å løpe fritt hvor som helst og bringe nye endringer til verden.","Akarat, amely bárhol szabadon fut, és új változásokat hoz a világba.","הרצון לרוץ בחופשיות לכל מקום ולהביא שינויים חדשים לעולם.","Воля свободно бежать куда угодно и привносить в мир новые изменения.","Valia laisvai bėgti bet kur ir nešti pasauliui naujus pokyčius."
"律","自らを律し、調和の取れた美しさを追求する清廉な精神","A clean spirit that disciplines itself and pursues balanced beauty.","Espíritu limpio que se disciplina y busca una belleza equilibrada.","Un esprit pur qui se discipline et recherche une beauté équilibrée.","Ein reiner Geist, der sich selbst diszipliniert und nach ausgewogener Schönheit strebt.","Uno spirito pulito che si disciplina e persegue una bellezza equilibrata.","Isang malinis na diwang nagdidisiplina sa sarili at naghahangad ng balanseng kagandahan.","Um espírito limpo que se disciplina e busca uma beleza equilibrada.","Kendini terbiye eden ve dengeli güzelliği arayan temiz bir ruh.","روح نظيفة تضبط نفسها وتسعى لجمال متوازن.","En ren ande som disciplinerar sig själv och strävar efter balanserad skönhet.","Een zuivere geest die zichzelf disciplineert en streeft naar evenwichtige schoonheit.","Czysty duch, który sam siebie dyscyplinuje i dąży do zrównoważonego piękna.","En ren ånd som disiplinerer seg selv og streber etter balansert skjønnhet.","Tiszta szellem, amely fegyelmezi önmagát és a kiegyensúlyozott szépségre törekszik.","רוח נקייה הממושמעת לעצמה ושואפת ליופי מאוזן.","Чистый дух, который дисциплинирует себя и стремится к уравновешенной красоте.","Švari dvasia, kuri save drausmina ir siekia subalansuoto grožio."
"弦","ピンと張り詰めた緊張感の中に、美しい音色を秘めた心","A heart that hides a beautiful melody within a taut sense of tension.","Corazón que esconde una melodía hermosa dentro de una tensa sensación de tensión.","Un cœur qui cache une belle mélodie au sein d'une vive tension.","Ein Herz, das eine schöne Melodie in einer straffen Spannung verbirgt.","Un cuore che nasconde una bella melodia in un teso senso di tensione.","Isang pusong nagtatago ng magandang himig sa loob ng isang maigting na pakiramdam ng tensyon.","Um coração que esconde uma bela melodia num tenso sentido de tensão.","Gergin bir gerilim duygusunun içinde güzel bir melodi saklayan bir kalp.","قلب يخفي لحناً جميلاً وسط شعور متوتر من التوتر.","Ett hjärta som döljer en vacker melodi i en stram känsla av spänning.","Een hart dat een mooie melodie verbergt in een strak gespannen gevoel.","Serce, które kryje piękną melodię w napiętym poczuciu napięcia.","Et hjerte som skjuler en vakker melodi i en spent følelse.","A szív, amely gyönyörű dallamot rejt a feszült feszültség érzésében.","לב המסתיר מנגינה יפה בתוך תחושת מתיחות דרוכה.","Сердце, скрывающее прекрасную мелодию в натянутом чувстве напряжения.","Širdis, kuri slepia gražią melodiją įtemptame įtampos pojūtyje."
"鼓","勇気を奮い立たせる鼓動のように、周囲を熱狂させる力","The power to inspire enthusiasm in those around, like a heartbeat that rouses courage.","El poder de inspirar entusiasmo en quienes te rodean, como un latido que despierta el coraje.","La force d'inspirer de l'enthousiasme autour de soi, tel un battement de cœur qui éveille le courage.","Die Kraft, Begeisterung in den Mitmenschen zu wecken, wie ein Herzschlag, der Mut macht.","Il potere di ispirare entusiasmo in chi circonda, come un battito cardiaco che risveglia il coraggio.","Ang kapangyarihang magbigay ng simbuyo sa mga nasa paligid, tulad ng tibok ng pusong nagpapasiklab ng katapangan.","O poder de inspirar entusiasmo naqueles que o rodeiam, como um batimento cardíaco que desperta coragem.","Cesaret uyandıran bir kalp atışı gibi çevredekilerde coşku uyandırma gücü.","قوة إلهام الحماس فيمن حولك، مثل نبض القلب الذي يثير الشجاعة.","Kraften att inspirera till entusiasm hos de runt omkring, likt ett hjärtslag som väcker mod.","De kracht om enthousiasme te wekken bij de mensen om je heen, als een hartslag die moed opwekt.","Moc wzbudzania entuzjazmu u otoczenia, niczym bicie serca pobudzające odwagę.","Kraften til å inspirere til entusiasme hos de rundt seg, som et hjerteslag som vekker mot.","Az erő, amellyel valaki lelkesedést ébreszt a környezetében, mint a bátorságot ébresztő szívverés.","הכוח לעורר התלהבות בסובבים, כמו דופק המעורר אומץ.","Сила внушать энтузиазм окружающим, подобно сердцебиению, пробуждающему мужество.","Galia įkvėpti entuziazmo aplinkiniams, kaip širdies dūžiai, žadinantys drąsą."
"宙","果てしない宇宙のように、広大な夢と無限の可能性を宿す","Harbouring vast dreams and infinite possibilities, like the endless cosmos.","Albergando vastos sueños e infinitas posibilidades, como el cosmos interminable.","Abriter de vastes rêves et des possibilités infinies, tel le cosmos infini.","Große Träume und unendliche Möglichkeiten hegend, wie der endlose Kosmos.","Albergando vasti sogni e infinite possibilità, come il cosmo senza fine.","Nag-iingat ng mga malawak na pangarap at walang hanggang mga posibilidad, tulad ng walang katapusang sansinukob.","Abrigando vastos sonhos e infinitas possibilidades, como o cosmos sem fim.","Sonsuz evren gibi, engin hayalleri ve sonsuz olasılıkları barındıran.","احتضان أحلام واسعة وإمكانيات لا متناهية، مثل الكون اللانهائي.","Att hysa vidsträckta drömmar och oändliga möjligheter, likt den ändlösa kosmos.","Grote dromen en oneindige mogelijkheden koesteren, als de eindeloze kosmos.","Skrywanie wielkich marzeń i nieskończonych możliwości, niczym nieskończony kosmos.","Å huse omfattende drømmer og uendelige muligheter, som det endeløse kosmos.","Hatalmas álmokat és végtelen lehetőségeket hordozva, mint a végtelen kozmosz.","מאכלס חלומות עצומים ואפשרויות אינסופיות, כמו הקוסמוס האינסופי.","Таить в себе необъятные мечты и бесконечные возможности, подобно бескрайнему космосу.","Turintis didžiules svajones ir begalines galimybes, kaip beribis kosmosas."
"蒼","どこまでも深く透き通った青のように、純粋で自由な精神","A pure and free spirit, like an infinitely deep and transparent blue.","Un espíritu puro y libre, como un azul infinitamente profundo y transparente.","Un esprit pur et libre, tel un bleu infiniment profond et transparent.","Ein reiner und freier Geist, wie ein unendlich tiefes und transparentes Blau.","Uno spirito puro e libero, come un blu infinitamente profondo e trasparente.","Isang wagas at malayang diwa, tulad ng isang walang hanggang malalim at malinaw na asul.","Um espírito puro e livre, como um azul infinitamente profundo e transparente.","Sonsuz derinlikte ve şeffaf bir mavi gibi, saf ve özgür bir ruh.","روح نقية وحرة، مثل اللون الأزرق الشفاف والعميق للغاية.","En ren och fri ande, likt ett oändligt djupt och transparent blått.","Een pure en vrije geest, als een oneindig diep en transparant blauw.","Czysty i wolny duch, niczym nieskończenie głęboki i przejrzysty błękit.","En ren og fri ånd, som en uendelig dyp og gjennomsiktig blåfarge.","Tiszta és szabad lélek, mint a végtelenül mély és átlátszó kék.","רוח טהורה וחופשית, כחול עמוק ושקוף לאין שיעור.","Чистый и свободный дух, подобный бесконечно глубокой и прозрачной синеве.","Tyra ir laisva siela, kaip be galo giliai skaidri mėlyna spalva."
"地","万物を育み、揺るぎない安定と恵みをもたらす大地","The great earth that nurtures all things, bringing unwavering stability and blessings.","La gran tierra que nutre todo, brindando estabilidad.","La terre nourricière assurant stabilité et bénédictions.","Die große Erde, die alles nährt und Stabilität bringt.","La grande terra che nutre tutto, portando stabilità.","Ang dakilang lupa na nagpapakain sa lahat, nagdadala ng katatagan.","A grande terra que nutre tudo, trazendo estabilidade.","Her şeyi besleyen, sarsılmaz istikrar sağlayan yüce toprak.","الأرض العظيمة التي تغذي كل شيء وتجلب الاستقرار.","Den stora jorden som föder allt och ger stabilitet.","De grote aarde die alles voedt en stabiliteit brengt.","Wielka ziemia karmiąca wszystko, dająca stabilność.","Den store jorden som nærer alt og gir stabilitet.","A nagy föld, amely mindenet táplál és stabilitást ad.","האדמה הגדולה המזינה את הכל ומביאה יציבות.","Великая земля, питающая всё сущее и дающая покой.","Didžioji žemė, maitinanti viską ir teikianti stabilumą."
"神","人知を超えた大いなる存在、聖なる力と神秘の象徴","A great existence beyond human wisdom, a symbol of sacred power and mystery.","Existencia sagrada más allá de la sabiduría humana.","Existence sacrée au-delà de la sagesse humaine.","Ein Dasein jenseits menschlicher Weisheit.","Un'esistenza oltre la saggezza umana, simbolo sacro.","Dakilang pag-iral lampas sa karunungan ng tao.","Uma existência além da sabedoria humana.","İnsan bilgeliğinin ötesinde yüce bir varlık.","وجود عظيم يفوق حكمة البشر، رمز مقدس.","En stor existens bortom mänsklig visdom.","Een groot bestaan voorbij menselijke wijsheid.","Wielki byt poza ludzką mądrością.","En stor eksistens hinsides menneskelig visdom.","Az emberi bölcsességen túli nagyszerű létezés.","קיום אדיר מעבר לבינה אנושית.","Великое существо за пределами человеческого разума.","Didelė būtybė už žmogaus išminties ribų."
"命","この世に生を受けた尊い輝き、魂が紡ぐ生命の鼓動","A precious radiance born into this world, the heartbeat of life woven by the soul.","Resplandor precioso, el latido de la vida.","Un éclat précieux, le battement de cœur de la vie.","Ein kostbarer Glanz, der Herzschlag des Lebens.","Un prezioso splendore, il battito della vita.","Mahalagang kislap, ang tibok ng buhay.","Um brilho precioso, o batimento cardíaco da vida.","Dünyaya gelen değerli bir parıltı, yaşamın kalp atışı.","شعاع ثمين، نبض الحياة الذي تغزله الروح.","En dyrbar utstrålning, livets hjärtslag.","Een kostbare uitstraling, de hartslag van het leven.","Cenny blask, tętno życia tkane przez duszę.","En dyrebar utstråling, livets hjerteslag.","Drága ragyogás, az élet lüktetése.","זוהר יקר, פעימת הלב של החיים.","Драгоценное сияние жизни, биение сердца.","Brangus spindėjimas, sielos pinamas gyvybės pulsas."
"和","心を穏やかに結び、調和のとれた平和な世界を願う精神","A spirit that gently connects hearts and wishes for a harmonious and peaceful world.","Espíritu que une corazones por un mundo armonioso.","Esprit liant les cœurs pour un monde harmonieux.","Ein Geist, der Herzen für eine harmonische Welt verbindet.","Uno spirito che unisce i cuori per un mondo armonioso.","Diwa na nag-uugnay sa mga puso para sa kapayapaan.","Um espírito que conecta corações por um mundo harmonioso.","Kalpleri birleştiren, uyumlu bir dünya dileyen ruh.","روح تربط القلوب وتتمنى سلاماً متناغماً.","En ande som förenar hjärtan för en harmonisk värld.","Een geest die harten verbindt voor een harmonieuze wereld.","Duch łączący serca dla harmonijnego świata.","En ånd som forbinder hjerter for en harmonisk verden.","Szellem, amely összeköti a szíveket a harmóniáért.","רוח המחברת לבבות ומייחלת לשלום.","Дух, объединяющий сердца ради гармонии и мира.","Dvasia, švelniai jungianti širdis ir trokštanti harmonijos."
"禅","静寂の中で己を見つめ、無の境地から真理を悟る心","A heart that reflects on oneself in silence, attaining truth from the state of nothingness.","Corazón que se refleja en el silencio, alcanzando la verdad.","Un cœur qui se reflète dans le silence, vers la vérité.","Ein Herz, das in der Stille die Wahrheit erkennt.","Un cuore che riflette nel silenzio, raggiungendo la verità.","Pusong nagninilay sa katahimikan para sa katotohanan.","Um coração que reflete no silêncio, alcançando a verdade.","Sessizlikte kendi içine bakan, hakikate varan kalp.","قلب يتأمل الذات في صمت وينال الحقيقة.","Ett hjärta som reflekterar i tystnad och når sanningen.","Een hart dat in stilte de waarheid weerspiegelt.","Serce reflektujące w ciszy, poznające prawdę.","Et hjerte som reflekterer i stillhet og når sannheten.","Szív, amely a csendben talája meg az igazságot.","לב המתבונן פנימה בדממה ומשיג אמת.","Сердце, познающее истину в тишине через пустоту.","Širdis, tyloje stebinti save ir suvokianti tiesą."
